INFO 2023-12-21 18:44:20,785 autoreload Watching for file changes with StatReloader
DEBUG 2023-12-21 18:44:20,785 autoreload Waiting for apps ready_event.
DEBUG 2023-12-21 18:44:20,790 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2023-12-21 18:44:20,807 autoreload Watching dir C:\Users\Jade Higgins\OneDrive - Technological University Dublin\4th-year-2023\awm-github\Advanced-Web\advanced-web-mapping\ca2\backend\locale with glob **/*.mo.
DEBUG 2023-12-21 18:44:20,808 autoreload Watching dir C:\Users\Jade Higgins\OneDrive - Technological University Dublin\4th-year-2023\awm-github\Advanced-Web\advanced-web-mapping\ca2\backend\bird_hides\locale with glob **/*.mo.
DEBUG 2023-12-21 18:44:20,899 utils (0.000) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2023-12-21 18:44:21,026 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1693929974.3829982
DEBUG 2023-12-21 18:44:21,026 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\serializers\base.py first seen with mtime 1693929974.5309987
DEBUG 2023-12-21 18:44:21,026 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\compat\py3k.py first seen with mtime 1665171936.7738917
DEBUG 2023-12-21 18:44:21,026 autoreload File B:\anaconda\envs\milo_is_gay\Lib\asyncio\tasks.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,026 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\core\getlimits.py first seen with mtime 1665171936.823891
DEBUG 2023-12-21 18:44:21,026 autoreload File B:\anaconda\envs\milo_is_gay\Lib\asyncio\subprocess.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,026 autoreload File B:\anaconda\envs\milo_is_gay\Lib\argparse.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,026 autoreload File B:\anaconda\envs\milo_is_gay\DLLs\unicodedata.pyd first seen with mtime 1687559875.5586288
DEBUG 2023-12-21 18:44:21,026 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\lib\arraypad.py first seen with mtime 1665171937.1318905
DEBUG 2023-12-21 18:44:21,026 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1693929974.5349987
DEBUG 2023-12-21 18:44:21,027 autoreload File B:\anaconda\envs\milo_is_gay\Lib\datetime.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,027 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\migrations\__init__.py first seen with mtime 1693929974.5509987
DEBUG 2023-12-21 18:44:21,027 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\views\defaults.py first seen with mtime 1693929974.626999
DEBUG 2023-12-21 18:44:21,027 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\views\generic\list.py first seen with mtime 1693929974.6309988
DEBUG 2023-12-21 18:44:21,027 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1693929974.5509987
DEBUG 2023-12-21 18:44:21,027 autoreload File B:\anaconda\envs\milo_is_gay\Lib\platform.py first seen with mtime 1687559614.9488883
DEBUG 2023-12-21 18:44:21,027 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1693929974.5669987
